name,inc_date,start_date,status,address,taxid,phone,buss_cls,owner
CÔNG TY TNHH THIẾT KẾ VÀ XÂY DỰNG U.U,15/01/2022,15/01/2022, Đang Hoạt Động ,"102/50 H3T8 Âu Dương Lân, Phường 3, Quận 8, Tp Hồ Chí Minh",0317127220,0917662656,Công Ty TNHH MTV Ngoài Quốc Doanh,Bùi Phùng
CÔNG TY TNHH XUẤT NHẬP KHẨU HUTAHANCO,15/01/2022,15/01/2022, Đang Hoạt Động ,"263/16/17 Thạch Lam, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",0317127206,0906091133,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Hữu Trí
CÔNG TY TNHH YUE LONG,15/01/2022,15/01/2022, Đang Hoạt Động ,"F4/17C3 Ấp 6C, Đường Liên Ấp 2-6, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh",0317127196,0723811850,Công Ty TNHH MTV Ngoài Quốc Doanh,"Lu, Chih-Ting"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ Q&Q,15/01/2022,15/01/2022, Đang Hoạt Động ,"332/105C Nguyễn Thái Sơn, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh",0317127189,0904019932,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Đoàn Hoàng Việt
CÔNG TY TNHH GIẢI PHÁP THANG MÁY 4Y,15/01/2022,15/01/2022, Đang Hoạt Động ,"231/16R Tôn Thất Thuyết, Phường 03, Quận 4, Tp Hồ Chí Minh",0317126890,0924252279,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Ngọc Phi
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG NAM HƯNG PHÁT,15/01/2022,15/01/2022, Đang Hoạt Động ,"93/4 Trần Thái Tông, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",0317126883,0973 140 468,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Ngọc Khẩn
CÔNG TY TNHH XÔNG HƠI MASSAGE HƯỚNG DƯƠNG,15/01/2022,15/01/2022, Đang Hoạt Động ,"Số 6 Đường Số 4, Khu Dân Cư Bình Đăng, Phường 6, Quận 8, Tp Hồ Chí Minh",0317126876,0768 055 710,Công Ty TNHH MTV Ngoài Quốc Doanh,Hà Minh Mạnh
CÔNG TY TNHH XUẤT NHẬP KHẨU TRỌNG PHÁT,15/01/2022,15/01/2022, Đang Hoạt Động ,"70/4D Tổ 115, Ấp Tam Đông, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh",0317126869,0773017185,Công Ty TNHH MTV Ngoài Quốc Doanh,Lê Thị Chung
CÔNG TY CỔ PHẦN TRANG SỨC JESSICA VIỆT NAM,15/01/2022,15/01/2022, Đang Hoạt Động ,"237 Lê Thánh Tôn, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",0317126770,028 73022888,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Vũ Trần Đức Duy
CÔNG TY TNHH MTV DV VẬN TẢI CƠ GIỚI NAM TRUNG,15/01/2022,15/01/2022, Đang Hoạt Động ,"Số 40 Đường Làng Tăng Phú, Tổ 10, Khu Phố 4, Ph��Ng T�Ng Nh�N Ph� A, Thành Phố Thủ Đức, Tp Hồ Chí Minh",0317126185,0909086819,Công Ty TNHH MTV Ngoài Quốc Doanh,Phan Đăng Trung
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ KỸ THUẬT THIÊN PHÚC,15/01/2022,15/01/2022, Đang Hoạt Động ,"27/36/85 Bùi Tư Toàn, Khu Phố 5, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",0317126121,0903898104,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Trần Lê Tuấn Đạt
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI DP APHACO VIỆT NAM,15/01/2022,15/01/2022, Đang Hoạt Động ,"5/31 Đường Nguyễn Văn Vĩnh, Phường 4, Quận Tân Bình, Tp Hồ Chí Minh",0317126097,0916789329,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Công Pháp
CHI NHÁNH CÔNG TY TNHH PHÒNG KHÁM BÁC SỸ GIA ĐÌNH FAMILY CARE PLUS,15/01/2022,15/01/2022, Đang Hoạt Động ,"Số 1/18 Lương Văn Can, Phường 15, Quận 8, Tp Hồ Chí Minh",0316710119-001,0909785898,Công Ty TNHH MTV Ngoài Quốc Doanh,Trần Hữu Bổn
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ VẬN CHUYỂN QUỐC TẾ PHAN TRÍ EXPRESS,15/01/2022,15/01/2022, Đang Hoạt Động ,"403 Tân Sơn, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh",0316270612-001,0932 347 232,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Phan Huy Hoàng Lâm
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI CÔNG NGHỆ MUGUNG VINA,14/01/2022,14/01/2022, Đang Hoạt Động ,"Tổ 7, Phường Quyết Tiến, Thành Phố Lai Châu, Lai Châu",6200117750,0917007777,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Đình Khôi
CÔNG TY TNHH MTV QUANG TRANG,14/01/2022,14/01/2022, Đang Hoạt Động ,"Thôn Tây An, Xã Mường So, Huyện Phong Thổ, Lai Châu",6200117743,0976088345,Công Ty TNHH MTV Ngoài Quốc Doanh,Nguyễn Hào Quang
CÔNG TY CỔ PHẦN HIGHLAND PARK GIA LAI,14/01/2022,14/01/2022, Đang Hoạt Động ,"Cụm Cn-Ttcn Huyện Đak Đoa, Xã Tân Bình, Huyện Đak Đoa, Gia Lai",5901186052,0983434889,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Đỗ Mạnh Hùng
CÔNG TY CP NHÀ ĐẸP DƯƠNG HÙNG THUẬN,14/01/2022,14/01/2022, Đang Hoạt Động ,"92 Nguyễn Thiếp, Phường Diên Hồng, Thành Phố Pleiku, Gia Lai",5901186045,0793505999,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Đặng Minh Hùng
CÔNG TY TNHH CHĂN NUÔI QUỐC HUY GIA LAI,14/01/2022,14/01/2022, Đang Hoạt Động ,"Làng Đê Sơ, Xã Ia Me, Huyện Chư Prông, Gia Lai",5901186038,0982899289,Công Ty TNHH MTV Ngoài Quốc Doanh,Lưu Văn Huy
CÔNG TY TNHH SX ĐỒ GỖ MỸ NGHỆ TUẤN KIỆT,14/01/2022,14/01/2022, Đang Hoạt Động ,"Thôn Trung Ninh, Xã Ninh Loan, Huyện Đức Trọng, Lâm Đồng",5801478830,0389672195,Công Ty TNHH MTV Ngoài Quốc Doanh,Ngô Văn Tới
CÔNG TY TNHH TM - DV HOÀNG CHƯƠNG,14/01/2022,14/01/2022, Đang Hoạt Động ,"31/4 Đặng Thái Thân, Phường 3, Thành Phố Đà Lạt, Lâm Đồng",5801478816,0359121464,Công Ty TNHH MTV Ngoài Quốc Doanh,Vũ Hoàng Chương
CÔNG TY TNHH 1TV QUẢNG CÁO TUẤN KHANG,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số Nhà 459, Đường Hạ Long, Phường Bãi Cháy, Thành Phố Hạ Long, Quảng Ninh",5702108370,0782 124 128,Công Ty TNHH MTV Ngoài Quốc Doanh,Trần Vân Trang
CÔNG TY CỔ PHẦN ĐẦU TƯ AM HOLDINGS,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 1 Bến Đoan, Phường Hồng Gai, Thành Phố Hạ Long, Quảng Ninh",5702108363,0912427523,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),Phạm Trung Hiếu
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG HOÀNG LONG HOLDINGS,14/01/2022,14/01/2022, Đang Hoạt Động ,"Số 23 Cảng Quốc Tế Tuần Châu, Phường Tuần Châu, Thành Phố Hạ Long, Quảng Ninh",5702108356,0913467666,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),Nguyễn Trung Long
